epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,10.8824,10.8824,10.1994,10.1994
0,540,11.1791,11.1791,11.1005,11.1005
0,1080,8.8837,8.8837,10.5849,10.5849
0,1620,6.6517,6.6517,11.0776,11.0776
0,2160,9.1919,9.1919,9.9764,9.9764
0,2700,9.9977,9.9977,11.3854,11.3854
0,3240,8.2512,8.2512,12.0083,12.0083
0,3780,9.1146,9.1146,10.1611,10.1611
0,4320,8.7199,8.7199,9.4065,9.4065
0,4860,11.0438,11.0438,10.6253,10.6253
1,0,10.8824,10.8824,9.3681,9.3681
1,540,11.1791,11.1791,11.1181,11.1181
1,1080,8.8837,8.8837,9.5238,9.5238
1,1620,6.6517,6.6517,10.9663,10.9663
1,2160,9.1919,9.1919,10.072,10.072
1,2700,9.9977,9.9977,9.1356,9.1356
1,3240,8.2512,8.2512,11.7678,11.7678
1,3780,9.1146,9.1146,10.0953,10.0953
1,4320,8.7199,8.7199,11.9134,11.9134
1,4860,11.0438,11.0438,11.3686,11.3686
2,0,10.8824,10.8824,9.5946,9.5946
2,540,11.1791,11.1791,9.7412,9.7412
2,1080,8.8837,8.8837,10.6338,10.6338
2,1620,6.6517,6.6517,12.0816,12.0816
2,2160,9.1919,9.1919,8.7718,8.7718
2,2700,9.9977,9.9977,10.4572,10.4572
2,3240,8.2512,8.2512,10.9522,10.9522
2,3780,9.1146,9.1146,12.0414,12.0414
2,4320,8.7199,8.7199,8.8961,8.8961
2,4860,11.0438,11.0438,9.1245,9.1245
3,0,10.8824,10.8824,12.5454,12.5454
3,540,11.1791,11.1791,11.4333,11.4333
3,1080,8.8837,8.8837,9.5257,9.5257
3,1620,6.6517,6.6517,9.7716,9.7716
3,2160,9.1919,9.1919,10.8099,10.8099
3,2700,9.9977,9.9977,12.2689,12.2689
3,3240,8.2512,8.2512,9.0374,9.0374
3,3780,9.1146,9.1146,11.083,11.083
3,4320,8.7199,8.7199,9.2757,9.2757
3,4860,11.0438,11.0438,8.7079,8.7079
4,0,10.8824,10.8824,10.6183,10.6183
4,540,11.1791,11.1791,10.2986,10.2986
4,1080,8.8837,8.8837,9.2562,9.2562
4,1620,6.6517,6.6517,9.2453,9.2453
4,2160,9.1919,9.1919,10.2893,10.2893
