epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,1.2552,1.2552,1.1538,1.1538
0,540,0.1226,0.1226,0.1525,0.1525
0,1080,0.1061,0.1061,0.1185,0.1185
0,1620,0.1349,0.1349,0.192,0.192
0,2160,0.1523,0.1523,0.148,0.148
0,2700,0.1504,0.1504,0.1359,0.1359
0,3240,0.2137,0.2137,0.1502,0.1502
0,3780,0.1337,0.1337,0.1492,0.1492
0,4320,0.1342,0.1342,0.1403,0.1403
0,4860,0.1514,0.1514,0.2432,0.2432
1,0,0.15,0.15,0.11,0.11
1,540,0.1445,0.1445,0.1523,0.1523
1,1080,0.1147,0.1147,0.1289,0.1289
1,1620,0.1229,0.1229,0.1322,0.1322
1,2160,0.1465,0.1465,0.1016,0.1016
1,2700,0.14,0.14,0.1049,0.1049
1,3240,0.1674,0.1674,0.1509,0.1509
1,3780,0.1326,0.1326,0.1198,0.1198
1,4320,0.15,0.15,0.1497,0.1497
1,4860,0.1249,0.1249,0.2167,0.2167
2,0,0.1518,0.1518,0.1587,0.1587
2,540,0.1204,0.1204,0.1152,0.1152
2,1080,0.1054,0.1054,0.1246,0.1246
2,1620,0.1215,0.1215,0.1245,0.1245
2,2160,0.1396,0.1396,0.149,0.149
2,2700,0.1399,0.1399,0.1218,0.1218
2,3240,0.1519,0.1519,0.1363,0.1363
2,3780,0.1329,0.1329,0.1258,0.1258
2,4320,0.1472,0.1472,0.1752,0.1752
2,4860,0.1165,0.1165,0.1476,0.1476
3,0,0.1245,0.1245,0.1277,0.1277
3,540,0.1135,0.1135,0.1267,0.1267
3,1080,0.109,0.109,0.1132,0.1132
3,1620,0.1199,0.1199,0.133,0.133
3,2160,0.1418,0.1418,0.1515,0.1515
3,2700,0.1416,0.1416,0.1364,0.1364
3,3240,0.1545,0.1545,0.1162,0.1162
3,3780,0.1396,0.1396,0.1496,0.1496
3,4320,0.1436,0.1436,0.1047,0.1047
3,4860,0.1168,0.1168,0.1158,0.1158
4,0,0.1177,0.1177,0.1394,0.1394
4,540,0.1096,0.1096,0.1455,0.1455
4,1080,0.1093,0.1093,0.1408,0.1408
4,1620,0.1252,0.1252,0.1268,0.1268
4,2160,0.1361,0.1361,0.1758,0.1758
4,2700,0.1667,0.1667,0.1937,0.1937
