epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,0.1292,0.1292,0.1255,0.1255
0,540,0.0877,0.0877,0.1623,0.1623
0,1080,0.1794,0.1794,0.1304,0.1304
0,1620,0.1576,0.1576,0.1858,0.1858
0,2160,0.158,0.158,0.1633,0.1633
0,2700,0.1433,0.1433,0.1338,0.1338
0,3240,0.1639,0.1639,0.134,0.134
0,3780,0.129,0.129,0.1569,0.1569
0,4320,0.1681,0.1681,0.1489,0.1489
0,4860,0.1729,0.1729,0.1315,0.1315
1,0,0.1292,0.1292,0.186,0.186
1,540,0.0877,0.0877,0.1547,0.1547
1,1080,0.1794,0.1794,0.1477,0.1477
1,1620,0.1576,0.1576,0.1719,0.1719
1,2160,0.158,0.158,0.1417,0.1417
1,2700,0.1433,0.1433,0.1535,0.1535
1,3240,0.1639,0.1639,0.1453,0.1453
1,3780,0.129,0.129,0.1476,0.1476
1,4320,0.1681,0.1681,0.184,0.184
1,4860,0.1729,0.1729,0.127,0.127
2,0,0.1292,0.1292,0.1481,0.1481
2,540,0.0877,0.0877,0.1755,0.1755
2,1080,0.1794,0.1794,0.153,0.153
2,1620,0.1576,0.1576,0.161,0.161
2,2160,0.158,0.158,0.1136,0.1136
2,2700,0.1433,0.1433,0.1411,0.1411
2,3240,0.1639,0.1639,0.1389,0.1389
2,3780,0.129,0.129,0.1519,0.1519
2,4320,0.1681,0.1681,0.1255,0.1255
2,4860,0.1729,0.1729,0.123,0.123
3,0,0.1292,0.1292,0.1637,0.1637
3,540,0.0877,0.0877,0.1759,0.1759
3,1080,0.1794,0.1794,0.1465,0.1465
3,1620,0.1576,0.1576,0.175,0.175
3,2160,0.158,0.158,0.1606,0.1606
3,2700,0.1433,0.1433,0.1339,0.1339
3,3240,0.1639,0.1639,0.1853,0.1853
3,3780,0.129,0.129,0.1429,0.1429
3,4320,0.1681,0.1681,0.1731,0.1731
3,4860,0.1729,0.1729,0.1212,0.1212
4,0,0.1292,0.1292,0.1615,0.1615
4,540,0.0877,0.0877,0.1286,0.1286
4,1080,0.1794,0.1794,0.1307,0.1307
4,1620,0.1576,0.1576,0.1787,0.1787
4,2160,0.158,0.158,0.128,0.128
4,2700,0.1433,0.1433,0.1204,0.1204
4,3240,0.1639,0.1639,0.1383,0.1383
4,3780,0.129,0.129,0.1727,0.1727
4,4320,0.1681,0.1681,0.1248,0.1248
4,4860,0.1729,0.1729,0.1162,0.1162
5,0,0.1292,0.1292,0.1382,0.1382
5,540,0.0877,0.0877,0.1349,0.1349
5,1080,0.1794,0.1794,0.1619,0.1619
5,1620,0.1576,0.1576,0.1683,0.1683
5,2160,0.158,0.158,0.1404,0.1404
5,2700,0.1433,0.1433,0.1872,0.1872
5,3240,0.1639,0.1639,0.1393,0.1393
5,3780,0.129,0.129,0.1574,0.1574
5,4320,0.1681,0.1681,0.1925,0.1925
5,4860,0.1729,0.1729,0.1324,0.1324
6,0,0.1292,0.1292,0.1677,0.1677
6,540,0.0877,0.0877,0.144,0.144
6,1080,0.1794,0.1794,0.125,0.125
6,1620,0.1576,0.1576,0.1469,0.1469
6,2160,0.158,0.158,0.1595,0.1595
6,2700,0.1433,0.1433,0.1658,0.1658
6,3240,0.1639,0.1639,0.1413,0.1413
6,3780,0.129,0.129,0.1477,0.1477
6,4320,0.1681,0.1681,0.1313,0.1313
6,4860,0.1729,0.1729,0.1798,0.1798
7,0,0.1292,0.1292,0.1823,0.1823
7,540,0.0877,0.0877,0.1505,0.1505
7,1080,0.1794,0.1794,0.1349,0.1349
7,1620,0.1576,0.1576,0.1371,0.1371
7,2160,0.158,0.158,0.1577,0.1577
7,2700,0.1433,0.1433,0.1485,0.1485
7,3240,0.1639,0.1639,0.1479,0.1479
7,3780,0.129,0.129,0.1687,0.1687
7,4320,0.1681,0.1681,0.1768,0.1768
7,4860,0.1729,0.1729,0.2049,0.2049
8,0,0.1292,0.1292,0.1268,0.1268
8,540,0.0877,0.0877,0.1753,0.1753
8,1080,0.1794,0.1794,0.1411,0.1411
8,1620,0.1576,0.1576,0.1568,0.1568
8,2160,0.158,0.158,0.151,0.151
8,2700,0.1433,0.1433,0.1439,0.1439
8,3240,0.1639,0.1639,0.1458,0.1458
8,3780,0.129,0.129,0.156,0.156
8,4320,0.1681,0.1681,0.1311,0.1311
8,4860,0.1729,0.1729,0.1618,0.1618
9,0,0.1292,0.1292,0.1439,0.1439
9,540,0.0877,0.0877,0.1591,0.1591
9,1080,0.1794,0.1794,0.1605,0.1605
9,1620,0.1576,0.1576,0.1694,0.1694
9,2160,0.158,0.158,0.1972,0.1972
9,2700,0.1433,0.1433,0.1414,0.1414
9,3240,0.1639,0.1639,0.1319,0.1319
9,3780,0.129,0.129,0.1291,0.1291
9,4320,0.1681,0.1681,0.1452,0.1452
9,4860,0.1729,0.1729,0.1291,0.1291
10,0,0.1292,0.1292,0.1545,0.1545
10,540,0.0877,0.0877,0.1542,0.1542
10,1080,0.1794,0.1794,0.15,0.15
10,1620,0.1576,0.1576,0.135,0.135
10,2160,0.158,0.158,0.1374,0.1374
10,2700,0.1433,0.1433,0.118,0.118
10,3240,0.1639,0.1639,0.1554,0.1554
10,3780,0.129,0.129,0.1664,0.1664
10,4320,0.1681,0.1681,0.1449,0.1449
