epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,169.6403,169.6403,169.0586,169.0586
0,540,75.0587,75.0587,77.7753,77.7753
0,1080,75.5696,75.5696,63.4562,63.4562
0,1620,51.6889,51.6889,81.7175,81.7175
0,2160,66.7471,66.7471,88.6499,88.6499
0,2700,68.9463,68.9463,84.6804,84.6804
0,3240,60.1257,60.1257,79.5027,79.5027
0,3780,93.2722,93.2722,67.581,67.581
0,4320,77.0843,77.0843,74.0884,74.0884
0,4860,71.8299,71.8299,55.9474,55.9474
1,0,63.6772,63.6772,70.4377,70.4377
1,540,57.7268,57.7268,74.1083,74.1083
1,1080,78.9151,78.9151,74.7385,74.7385
1,1620,50.8722,50.8722,81.095,81.095
1,2160,68.3358,68.3358,75.4289,75.4289
1,2700,66.7952,66.7952,79.9916,79.9916
1,3240,59.7731,59.7731,77.2578,77.2578
1,3780,91.1022,91.1022,84.3698,84.3698
1,4320,75.269,75.269,64.4907,64.4907
1,4860,72.1576,72.1576,68.2642,68.2642
2,0,62.5895,62.5895,62.3134,62.3134
2,540,58.3764,58.3764,69.9348,69.9348
2,1080,77.3723,77.3723,75.2355,75.2355
2,1620,49.6001,49.6001,65.767,65.767
2,2160,67.636,67.636,82.9633,82.9633
2,2700,66.445,66.445,76.1968,76.1968
2,3240,60.2657,60.2657,62.7006,62.7006
2,3780,92.7466,92.7466,74.1148,74.1148
2,4320,75.2937,75.2937,79.5616,79.5616
2,4860,72.5162,72.5162,66.7756,66.7756
3,0,63.3605,63.3605,70.3065,70.3065
3,540,58.0926,58.0926,64.3777,64.3777
3,1080,77.2113,77.2113,70.6702,70.6702
3,1620,50.3057,50.3057,83.5678,83.5678
3,2160,66.801,66.801,85.719,85.719
3,2700,66.0196,66.0196,99.4983,99.4983
3,3240,60.4881,60.4881,79.3196,79.3196
3,3780,92.3696,92.3696,72.5068,72.5068
3,4320,75.8969,75.8969,59.8498,59.8498
3,4860,72.4075,72.4075,83.0603,83.0603
4,0,62.3745,62.3745,82.6325,82.6325
4,540,58.9509,58.9509,77.3695,77.3695
4,1080,76.3013,76.3013,75.6237,75.6237
4,1620,50.4181,50.4181,65.3026,65.3026
4,2160,65.4974,65.4974,68.7331,68.7331
4,2700,67.3311,67.3311,64.9867,64.9867
4,3240,60.1307,60.1307,69.9378,69.9378
4,3780,90.8151,90.8151,69.6659,69.6659
4,4320,74.7048,74.7048,76.7435,76.7435
4,4860,72.2359,72.2359,77.5863,77.5863
5,0,63.0454,63.0454,73.337,73.337
5,540,58.8352,58.8352,69.758,69.758
5,1080,76.7117,76.7117,72.5482,72.5482
5,1620,49.3151,49.3151,89.5653,89.5653
5,2160,67.74,67.74,59.7649,59.7649
5,2700,66.1577,66.1577,74.0623,74.0623
5,3240,59.9302,59.9302,77.3398,77.3398
5,3780,89.3197,89.3197,68.1793,68.1793
5,4320,74.1669,74.1669,81.7238,81.7238
5,4860,72.5567,72.5567,67.7933,67.7933
