epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,0.0983,0.0983,0.118,0.118
0,540,0.0952,0.0952,0.0774,0.0774
0,1080,0.1169,0.1169,0.1373,0.1373
0,1620,0.1137,0.1137,0.104,0.104
0,2160,0.1104,0.1104,0.1134,0.1134
0,2700,0.1163,0.1163,0.1128,0.1128
0,3240,0.1095,0.1095,0.1263,0.1263
0,3780,0.1397,0.1397,0.1222,0.1222
0,4320,0.1292,0.1292,0.0901,0.0901
0,4860,0.1308,0.1308,0.1313,0.1313
1,0,0.0983,0.0983,0.0845,0.0845
1,540,0.0952,0.0952,0.0946,0.0946
1,1080,0.1169,0.1169,0.1071,0.1071
1,1620,0.1137,0.1137,0.0914,0.0914
1,2160,0.1104,0.1104,0.1293,0.1293
1,2700,0.1163,0.1163,0.1005,0.1005
1,3240,0.1095,0.1095,0.1333,0.1333
1,3780,0.1397,0.1397,0.1261,0.1261
1,4320,0.1292,0.1292,0.1102,0.1102
1,4860,0.1308,0.1308,0.1051,0.1051
2,0,0.0983,0.0983,0.0847,0.0847
2,540,0.0952,0.0952,0.1482,0.1482
2,1080,0.1169,0.1169,0.1408,0.1408
2,1620,0.1137,0.1137,0.115,0.115
2,2160,0.1104,0.1104,0.1268,0.1268
2,2700,0.1163,0.1163,0.0933,0.0933
2,3240,0.1095,0.1095,0.1445,0.1445
2,3780,0.1397,0.1397,0.1104,0.1104
2,4320,0.1292,0.1292,0.1108,0.1108
2,4860,0.1308,0.1308,0.1138,0.1138
3,0,0.0983,0.0983,0.1166,0.1166
3,540,0.0952,0.0952,0.1363,0.1363
3,1080,0.1169,0.1169,0.0878,0.0878
3,1620,0.1137,0.1137,0.1041,0.1041
3,2160,0.1104,0.1104,0.1009,0.1009
3,2700,0.1163,0.1163,0.1155,0.1155
3,3240,0.1095,0.1095,0.1404,0.1404
3,3780,0.1397,0.1397,0.1292,0.1292
3,4320,0.1292,0.1292,0.1199,0.1199
3,4860,0.1308,0.1308,0.1058,0.1058
4,0,0.0983,0.0983,0.1028,0.1028
4,540,0.0952,0.0952,0.1059,0.1059
4,1080,0.1169,0.1169,0.1091,0.1091
4,1620,0.1137,0.1137,0.1194,0.1194
4,2160,0.1104,0.1104,0.1367,0.1367
4,2700,0.1163,0.1163,0.1285,0.1285
4,3240,0.1095,0.1095,0.1204,0.1204
4,3780,0.1397,0.1397,0.1172,0.1172
4,4320,0.1292,0.1292,0.1245,0.1245
