epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,1.2505,1.2505,1.1052,1.1052
0,540,0.2045,0.2045,0.2071,0.2071
0,1080,0.1518,0.1518,0.1285,0.1285
0,1620,0.1354,0.1354,0.123,0.123
0,2160,0.151,0.151,0.1433,0.1433
0,2700,0.1483,0.1483,0.1198,0.1198
0,3240,0.1554,0.1554,0.1436,0.1436
0,3780,0.1472,0.1472,0.1292,0.1292
0,4320,0.1361,0.1361,0.1205,0.1205
0,4860,0.1225,0.1225,0.2274,0.2274
1,0,0.1511,0.1511,0.1095,0.1095
1,540,0.1371,0.1371,0.162,0.162
1,1080,0.1564,0.1564,0.1765,0.1765
1,1620,0.1159,0.1159,0.1402,0.1402
1,2160,0.1376,0.1376,0.1534,0.1534
1,2700,0.1756,0.1756,0.1598,0.1598
1,3240,0.1515,0.1515,0.1581,0.1581
1,3780,0.1443,0.1443,0.1739,0.1739
1,4320,0.1301,0.1301,0.1322,0.1322
1,4860,0.0847,0.0847,0.1067,0.1067
2,0,0.1275,0.1275,0.1391,0.1391
2,540,0.1356,0.1356,0.1092,0.1092
2,1080,0.1443,0.1443,0.1068,0.1068
2,1620,0.119,0.119,0.1439,0.1439
2,2160,0.1372,0.1372,0.1093,0.1093
2,2700,0.1381,0.1381,0.1412,0.1412
2,3240,0.2075,0.2075,0.2393,0.2393
2,3780,0.1491,0.1491,0.1536,0.1536
2,4320,0.1321,0.1321,0.1367,0.1367
2,4860,0.0895,0.0895,0.1361,0.1361
3,0,0.1192,0.1192,0.1429,0.1429
3,540,0.1359,0.1359,0.0938,0.0938
3,1080,0.1362,0.1362,0.1127,0.1127
3,1620,0.1143,0.1143,0.1289,0.1289
3,2160,0.1381,0.1381,0.113,0.113
3,2700,0.1386,0.1386,0.1292,0.1292
3,3240,0.156,0.156,0.1718,0.1718
3,3780,0.1415,0.1415,0.1454,0.1454
3,4320,0.1246,0.1246,0.1425,0.1425
3,4860,0.0933,0.0933,0.127,0.127
4,0,0.1164,0.1164,0.1193,0.1193
4,540,0.134,0.134,0.1322,0.1322
4,1080,0.1325,0.1325,0.1507,0.1507
4,1620,0.1125,0.1125,0.1247,0.1247
4,2160,0.1388,0.1388,0.1323,0.1323
4,2700,0.1408,0.1408,0.1351,0.1351
4,3240,0.1532,0.1532,0.1081,0.1081
4,3780,0.1415,0.1415,0.1339,0.1339
4,4320,0.1377,0.1377,0.1526,0.1526
4,4860,0.0875,0.0875,0.1174,0.1174
5,0,0.1179,0.1179,0.122,0.122
5,540,0.1332,0.1332,0.1425,0.1425
5,1080,0.1484,0.1484,0.112,0.112
5,1620,0.1608,0.1608,0.1379,0.1379
5,2160,0.1417,0.1417,0.119,0.119
5,2700,0.1448,0.1448,0.1513,0.1513
5,3240,0.1495,0.1495,0.123,0.123
5,3780,0.1443,0.1443,0.123,0.123
5,4320,0.1229,0.1229,0.113,0.113
5,4860,0.095,0.095,0.1237,0.1237
6,0,0.1185,0.1185,0.1122,0.1122
6,540,0.1318,0.1318,0.1049,0.1049
6,1080,0.1435,0.1435,0.139,0.139
6,1620,0.1539,0.1539,0.1488,0.1488
6,2160,0.1469,0.1469,0.1418,0.1418
6,2700,0.1391,0.1391,0.1494,0.1494
6,3240,0.1484,0.1484,0.1,0.1
6,3780,0.144,0.144,0.1447,0.1447
6,4320,0.134,0.134,0.1419,0.1419
6,4860,0.0817,0.0817,0.1127,0.1127
7,0,0.1199,0.1199,0.1249,0.1249
7,540,0.1322,0.1322,0.1068,0.1068
7,1080,0.1494,0.1494,0.1221,0.1221
7,1620,0.2035,0.2035,0.1186,0.1186
7,2160,0.1383,0.1383,0.1195,0.1195
7,2700,0.1389,0.1389,0.1342,0.1342
7,3240,0.1514,0.1514,0.1167,0.1167
7,3780,0.1451,0.1451,0.1409,0.1409
7,4320,0.1411,0.1411,0.1369,0.1369
7,4860,0.0853,0.0853,0.1484,0.1484
8,0,0.1173,0.1173,0.1179,0.1179
8,540,0.1314,0.1314,0.1275,0.1275
8,1080,0.1404,0.1404,0.1229,0.1229
8,1620,0.2254,0.2254,0.184,0.184
8,2160,0.139,0.139,0.1311,0.1311
8,2700,0.1463,0.1463,0.1162,0.1162
8,3240,0.1517,0.1517,0.1138,0.1138
8,3780,0.1457,0.1457,0.131,0.131
8,4320,0.1288,0.1288,0.1259,0.1259
8,4860,0.0873,0.0873,0.1492,0.1492
9,0,0.115,0.115,0.138,0.138
9,540,0.1326,0.1326,0.1311,0.1311
9,1080,0.1367,0.1367,0.1367,0.1367
9,1620,0.1777,0.1777,0.154,0.154
9,2160,0.1394,0.1394,0.1315,0.1315
9,2700,0.1385,0.1385,0.1522,0.1522
9,3240,0.1478,0.1478,0.1332,0.1332
9,3780,0.1419,0.1419,0.1368,0.1368
9,4320,0.1267,0.1267,0.1208,0.1208
9,4860,0.0975,0.0975,0.1248,0.1248
10,0,0.1152,0.1152,0.1192,0.1192
10,540,0.1333,0.1333,0.1179,0.1179
10,1080,0.134,0.134,0.1432,0.1432
10,1620,0.1805,0.1805,0.1542,0.1542
10,2160,0.1396,0.1396,0.102,0.102
10,2700,0.1425,0.1425,0.1359,0.1359
10,3240,0.1511,0.1511,0.1488,0.1488
10,3780,0.1454,0.1454,0.095,0.095
10,4320,0.1526,0.1526,0.1268,0.1268
10,4860,0.0934,0.0934,0.146,0.146
11,0,0.1162,0.1162,0.1445,0.1445
11,540,0.132,0.132,0.1316,0.1316
11,1080,0.1368,0.1368,0.1691,0.1691
11,1620,0.1942,0.1942,0.1573,0.1573
11,2160,0.1395,0.1395,0.1583,0.1583
11,2700,0.148,0.148,0.13,0.13
11,3240,0.1489,0.1489,0.1401,0.1401
11,3780,0.1418,0.1418,0.1248,0.1248
11,4320,0.1316,0.1316,0.1089,0.1089
11,4860,0.0961,0.0961,0.1114,0.1114
12,0,0.1155,0.1155,0.1105,0.1105
12,540,0.1314,0.1314,0.1473,0.1473
12,1080,0.137,0.137,0.1325,0.1325
12,1620,0.1984,0.1984,0.1615,0.1615
12,2160,0.1387,0.1387,0.1364,0.1364
12,2700,0.1498,0.1498,0.1303,0.1303
12,3240,0.1494,0.1494,0.1378,0.1378
12,3780,0.1413,0.1413,0.1557,0.1557
12,4320,0.1297,0.1297,0.1451,0.1451
