epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,1.2465,1.2465,1.3252,1.3252
0,540,1.2134,1.2134,1.2286,1.2286
0,1080,1.3165,1.3165,1.2102,1.2102
0,1620,1.2044,1.2044,1.2588,1.2588
0,2160,1.2411,1.2411,1.2425,1.2425
0,2700,1.2473,1.2473,1.2252,1.2252
0,3240,1.3073,1.3073,1.2118,1.2118
0,3780,1.2702,1.2702,1.2573,1.2573
0,4320,1.2164,1.2164,1.1302,1.1302
0,4860,1.2887,1.2887,1.2267,1.2267
1,0,1.2465,1.2465,1.2014,1.2014
1,540,1.2134,1.2134,1.2596,1.2596
1,1080,1.3165,1.3165,1.2193,1.2193
1,1620,1.2044,1.2044,1.2265,1.2265
1,2160,1.2411,1.2411,1.2695,1.2695
1,2700,1.2473,1.2473,1.2559,1.2559
1,3240,1.3073,1.3073,1.2386,1.2386
1,3780,1.2702,1.2702,1.2339,1.2339
1,4320,1.2164,1.2164,1.2748,1.2748
1,4860,1.2887,1.2887,1.2202,1.2202
2,0,1.2465,1.2465,1.2714,1.2714
2,540,1.2134,1.2134,1.2497,1.2497
2,1080,1.3165,1.3165,1.2369,1.2369
2,1620,1.2044,1.2044,1.1896,1.1896
2,2160,1.2411,1.2411,1.3247,1.3247
2,2700,1.2473,1.2473,1.1742,1.1742
2,3240,1.3073,1.3073,1.2238,1.2238
2,3780,1.2702,1.2702,1.2765,1.2765
2,4320,1.2164,1.2164,1.2139,1.2139
2,4860,1.2887,1.2887,1.2011,1.2011
3,0,1.2465,1.2465,1.2456,1.2456
3,540,1.2134,1.2134,1.2653,1.2653
3,1080,1.3165,1.3165,1.2295,1.2295
3,1620,1.2044,1.2044,1.2266,1.2266
3,2160,1.2411,1.2411,1.2147,1.2147
3,2700,1.2473,1.2473,1.246,1.246
3,3240,1.3073,1.3073,1.2168,1.2168
3,3780,1.2702,1.2702,1.2582,1.2582
3,4320,1.2164,1.2164,1.2403,1.2403
3,4860,1.2887,1.2887,1.2594,1.2594
4,0,1.2465,1.2465,1.221,1.221
4,540,1.2134,1.2134,1.2447,1.2447
4,1080,1.3165,1.3165,1.2346,1.2346
4,1620,1.2044,1.2044,1.2433,1.2433
4,2160,1.2411,1.2411,1.2159,1.2159
4,2700,1.2473,1.2473,1.2964,1.2964
4,3240,1.3073,1.3073,1.2153,1.2153
4,3780,1.2702,1.2702,1.2428,1.2428
4,4320,1.2164,1.2164,1.176,1.176
4,4860,1.2887,1.2887,1.2599,1.2599
5,0,1.2465,1.2465,1.2749,1.2749
5,540,1.2134,1.2134,1.2589,1.2589
5,1080,1.3165,1.3165,1.2376,1.2376
5,1620,1.2044,1.2044,1.2461,1.2461
5,2160,1.2411,1.2411,1.2043,1.2043
5,2700,1.2473,1.2473,1.2085,1.2085
5,3240,1.3073,1.3073,1.3181,1.3181
5,3780,1.2702,1.2702,1.2272,1.2272
5,4320,1.2164,1.2164,1.2787,1.2787
5,4860,1.2887,1.2887,1.2265,1.2265
6,0,1.2465,1.2465,1.2366,1.2366
6,540,1.2134,1.2134,1.2534,1.2534
6,1080,1.3165,1.3165,1.2626,1.2626
6,1620,1.2044,1.2044,1.2542,1.2542
6,2160,1.2411,1.2411,1.2268,1.2268
6,2700,1.2473,1.2473,1.2777,1.2777
6,3240,1.3073,1.3073,1.2569,1.2569
6,3780,1.2702,1.2702,1.2269,1.2269
6,4320,1.2164,1.2164,1.2749,1.2749
6,4860,1.2887,1.2887,1.2287,1.2287
7,0,1.2465,1.2465,1.2406,1.2406
7,540,1.2134,1.2134,1.239,1.239
7,1080,1.3165,1.3165,1.2448,1.2448
7,1620,1.2044,1.2044,1.2085,1.2085
7,2160,1.2411,1.2411,1.2458,1.2458
7,2700,1.2473,1.2473,1.2766,1.2766
7,3240,1.3073,1.3073,1.2533,1.2533
7,3780,1.2702,1.2702,1.2454,1.2454
7,4320,1.2164,1.2164,1.2014,1.2014
7,4860,1.2887,1.2887,1.2353,1.2353
8,0,1.2465,1.2465,1.1797,1.1797
8,540,1.2134,1.2134,1.2258,1.2258
8,1080,1.3165,1.3165,1.2293,1.2293
8,1620,1.2044,1.2044,1.224,1.224
8,2160,1.2411,1.2411,1.2278,1.2278
8,2700,1.2473,1.2473,1.2956,1.2956
8,3240,1.3073,1.3073,1.2566,1.2566
8,3780,1.2702,1.2702,1.2209,1.2209
8,4320,1.2164,1.2164,1.1887,1.1887
8,4860,1.2887,1.2887,1.2037,1.2037
9,0,1.2465,1.2465,1.2474,1.2474
9,540,1.2134,1.2134,1.3024,1.3024
9,1080,1.3165,1.3165,1.2371,1.2371
9,1620,1.2044,1.2044,1.3009,1.3009
9,2160,1.2411,1.2411,1.1768,1.1768
9,2700,1.2473,1.2473,1.2464,1.2464
9,3240,1.3073,1.3073,1.2201,1.2201
9,3780,1.2702,1.2702,1.2468,1.2468
9,4320,1.2164,1.2164,1.2126,1.2126
9,4860,1.2887,1.2887,1.2352,1.2352
10,0,1.2465,1.2465,1.2331,1.2331
