epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,1.2465,1.2465,1.2074,1.2074
0,540,1.2134,1.2134,1.3416,1.3416
0,1080,1.3165,1.3165,1.2205,1.2205
0,1620,1.2044,1.2044,1.2489,1.2489
0,2160,1.2411,1.2411,1.2339,1.2339
0,2700,1.2473,1.2473,1.2374,1.2374
0,3240,1.3073,1.3073,1.2585,1.2585
0,3780,1.2702,1.2702,1.2346,1.2346
0,4320,1.2164,1.2164,1.2351,1.2351
0,4860,1.2887,1.2887,1.2532,1.2532
1,0,1.2465,1.2465,1.2517,1.2517
1,540,1.2134,1.2134,1.1718,1.1718
1,1080,1.3165,1.3165,1.2546,1.2546
1,1620,1.2044,1.2044,1.2442,1.2442
1,2160,1.2411,1.2411,1.2131,1.2131
1,2700,1.2473,1.2473,1.2167,1.2167
1,3240,1.3073,1.3073,1.2509,1.2509
1,3780,1.2702,1.2702,1.2011,1.2011
1,4320,1.2164,1.2164,1.234,1.234
1,4860,1.2887,1.2887,1.2699,1.2699
2,0,1.2465,1.2465,1.2453,1.2453
2,540,1.2134,1.2134,1.2435,1.2435
2,1080,1.3165,1.3165,1.2832,1.2832
2,1620,1.2044,1.2044,1.2423,1.2423
2,2160,1.2411,1.2411,1.2812,1.2812
2,2700,1.2473,1.2473,1.3019,1.3019
2,3240,1.3073,1.3073,1.2382,1.2382
2,3780,1.2702,1.2702,1.3114,1.3114
2,4320,1.2164,1.2164,1.2269,1.2269
2,4860,1.2887,1.2887,1.2407,1.2407
3,0,1.2465,1.2465,1.2192,1.2192
3,540,1.2134,1.2134,1.2875,1.2875
3,1080,1.3165,1.3165,1.2748,1.2748
3,1620,1.2044,1.2044,1.2274,1.2274
3,2160,1.2411,1.2411,1.2087,1.2087
3,2700,1.2473,1.2473,1.2233,1.2233
3,3240,1.3073,1.3073,1.2442,1.2442
3,3780,1.2702,1.2702,1.2106,1.2106
3,4320,1.2164,1.2164,1.2713,1.2713
3,4860,1.2887,1.2887,1.2466,1.2466
4,0,1.2465,1.2465,1.2651,1.2651
4,540,1.2134,1.2134,1.2533,1.2533
4,1080,1.3165,1.3165,1.2186,1.2186
4,1620,1.2044,1.2044,1.2532,1.2532
4,2160,1.2411,1.2411,1.2358,1.2358
4,2700,1.2473,1.2473,1.1759,1.1759
4,3240,1.3073,1.3073,1.2227,1.2227
4,3780,1.2702,1.2702,1.2996,1.2996
4,4320,1.2164,1.2164,1.2828,1.2828
4,4860,1.2887,1.2887,1.1955,1.1955
5,0,1.2465,1.2465,1.199,1.199
5,540,1.2134,1.2134,1.2605,1.2605
5,1080,1.3165,1.3165,1.2366,1.2366
5,1620,1.2044,1.2044,1.2995,1.2995
5,2160,1.2411,1.2411,1.1671,1.1671
5,2700,1.2473,1.2473,1.2749,1.2749
5,3240,1.3073,1.3073,1.2414,1.2414
5,3780,1.2702,1.2702,1.2026,1.2026
5,4320,1.2164,1.2164,1.2401,1.2401
5,4860,1.2887,1.2887,1.2198,1.2198
6,0,1.2465,1.2465,1.3083,1.3083
6,540,1.2134,1.2134,1.2247,1.2247
6,1080,1.3165,1.3165,1.2168,1.2168
