epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
11,2160,0.0147,0.0147,0.0205,0.0205
11,2700,0.0214,0.0214,0.0217,0.0217
11,3240,0.0182,0.0182,0.0194,0.0194
11,3780,0.0265,0.0265,0.0376,0.0376
11,4320,0.0153,0.0153,0.0282,0.0282
11,4860,0.0249,0.0249,0.0268,0.0268
12,0,0.0142,0.0142,0.0314,0.0314
12,540,0.0123,0.0123,0.0235,0.0235
12,1080,0.0209,0.0209,0.0255,0.0255
12,1620,0.0141,0.0141,0.0215,0.0215
12,2160,0.0163,0.0163,0.0252,0.0252
12,2700,0.0208,0.0208,0.0342,0.0342
12,3240,0.0146,0.0146,0.0243,0.0243
12,3780,0.0267,0.0267,0.0195,0.0195
12,4320,0.0146,0.0146,0.0193,0.0193
12,4860,0.0245,0.0245,0.0203,0.0203
13,0,0.0183,0.0183,0.0296,0.0296
13,540,0.0153,0.0153,0.0239,0.0239
13,1080,0.0159,0.0159,0.0255,0.0255
13,1620,0.0138,0.0138,0.0199,0.0199
13,2160,0.0151,0.0151,0.0278,0.0278
13,2700,0.0167,0.0167,0.0251,0.0251
13,3240,0.0139,0.0139,0.0313,0.0313
13,3780,0.0275,0.0275,0.0271,0.0271
13,4320,0.0167,0.0167,0.0235,0.0235
13,4860,0.0209,0.0209,0.0256,0.0256
14,0,0.017,0.017,0.0227,0.0227
14,540,0.0122,0.0122,0.0194,0.0194
14,1080,0.0198,0.0198,0.0126,0.0126
14,1620,0.0105,0.0105,0.016,0.016
14,2160,0.013,0.013,0.0141,0.0141
14,2700,0.0156,0.0156,0.0202,0.0202
14,3240,0.0121,0.0121,0.0134,0.0134
14,3780,0.0224,0.0224,0.0218,0.0218
14,4320,0.0167,0.0167,0.018,0.018
14,4860,0.0226,0.0226,0.0338,0.0338
15,0,0.0208,0.0208,0.0323,0.0323
15,540,0.0118,0.0118,0.0299,0.0299
15,1080,0.0166,0.0166,0.0091,0.0091
15,1620,0.0098,0.0098,0.016,0.016
15,2160,0.0123,0.0123,0.0214,0.0214
15,2700,0.0159,0.0159,0.0115,0.0115
15,3240,0.0157,0.0157,0.0198,0.0198
15,3780,0.0201,0.0201,0.0344,0.0344
15,4320,0.0102,0.0102,0.0134,0.0134
15,4860,0.025,0.025,0.0281,0.0281
16,0,0.0163,0.0163,0.0166,0.0166
16,540,0.0121,0.0121,0.0261,0.0261
16,1080,0.018,0.018,0.0289,0.0289
16,1620,0.0144,0.0144,0.0206,0.0206
16,2160,0.0142,0.0142,0.0285,0.0285
16,2700,0.0234,0.0234,0.0289,0.0289
16,3240,0.0086,0.0086,0.0205,0.0205
16,3780,0.0202,0.0202,0.0258,0.0258
16,4320,0.0128,0.0128,0.0216,0.0216
16,4860,0.0203,0.0203,0.0228,0.0228
17,0,0.0165,0.0165,0.0205,0.0205
17,540,0.0084,0.0084,0.0219,0.0219
17,1080,0.0167,0.0167,0.023,0.023
17,1620,0.0098,0.0098,0.0231,0.0231
17,2160,0.0135,0.0135,0.0252,0.0252
17,2700,0.0174,0.0174,0.0367,0.0367
17,3240,0.008,0.008,0.0207,0.0207
17,3780,0.0194,0.0194,0.0296,0.0296
17,4320,0.018,0.018,0.0271,0.0271
17,4860,0.0242,0.0242,0.026,0.026
18,0,0.0155,0.0155,0.0212,0.0212
18,540,0.0118,0.0118,0.0252,0.0252
18,1080,0.0229,0.0229,0.0219,0.0219
18,1620,0.0099,0.0099,0.0279,0.0279
18,2160,0.0135,0.0135,0.0166,0.0166
18,2700,0.0149,0.0149,0.0168,0.0168
18,3240,0.0084,0.0084,0.0219,0.0219
18,3780,0.0185,0.0185,0.0179,0.0179
18,4320,0.0129,0.0129,0.0131,0.0131
18,4860,0.0157,0.0157,0.0243,0.0243
19,0,0.0177,0.0177,0.0155,0.0155
19,540,0.01,0.01,0.0207,0.0207
19,1080,0.0242,0.0242,0.026,0.026
19,1620,0.0099,0.0099,0.0256,0.0256
19,2160,0.0104,0.0104,0.0203,0.0203
19,2700,0.0135,0.0135,0.0304,0.0304
19,3240,0.0103,0.0103,0.019,0.019
19,3780,0.019,0.019,0.0196,0.0196
19,4320,0.0131,0.0131,0.0272,0.0272
19,4860,0.018,0.018,0.0225,0.0225
20,0,0.0123,0.0123,0.0148,0.0148
20,540,0.0072,0.0072,0.0195,0.0195
20,1080,0.014,0.014,0.0192,0.0192
20,1620,0.0089,0.0089,0.0255,0.0255
20,2160,0.0112,0.0112,0.0149,0.0149
20,2700,0.0138,0.0138,0.022,0.022
20,3240,0.0076,0.0076,0.0207,0.0207
20,3780,0.02,0.02,0.0208,0.0208
20,4320,0.0112,0.0112,0.0146,0.0146
20,4860,0.0149,0.0149,0.0176,0.0176
21,0,0.0124,0.0124,0.0288,0.0288
21,540,0.0093,0.0093,0.0265,0.0265
21,1080,0.016,0.016,0.0203,0.0203
21,1620,0.007,0.007,0.0202,0.0202
21,2160,0.013,0.013,0.0391,0.0391
21,2700,0.0142,0.0142,0.0192,0.0192
21,3240,0.0067,0.0067,0.016,0.016
21,3780,0.0212,0.0212,0.0199,0.0199
21,4320,0.0107,0.0107,0.0171,0.0171
21,4860,0.0123,0.0123,0.0198,0.0198
22,0,0.0131,0.0131,0.0151,0.0151
22,540,0.0073,0.0073,0.0242,0.0242
22,1080,0.0143,0.0143,0.0207,0.0207
22,1620,0.0121,0.0121,0.0244,0.0244
