epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,0.077,0.077,0.0817,0.0817
0,540,0.0565,0.0565,0.0676,0.0676
0,1080,0.0524,0.0524,0.0388,0.0388
0,1620,0.0432,0.0432,0.0654,0.0654
0,2160,0.069,0.069,0.0677,0.0677
0,2700,0.0584,0.0584,0.0709,0.0709
0,3240,0.0616,0.0616,0.0667,0.0667
0,3780,0.0927,0.0927,0.0676,0.0676
0,4320,0.072,0.072,0.0556,0.0556
0,4860,0.0677,0.0677,0.0477,0.0477
1,0,0.0425,0.0425,0.0586,0.0586
1,540,0.051,0.051,0.0451,0.0451
1,1080,0.051,0.051,0.0641,0.0641
1,1620,0.0357,0.0357,0.0439,0.0439
1,2160,0.0483,0.0483,0.0433,0.0433
1,2700,0.0373,0.0373,0.0546,0.0546
1,3240,0.0328,0.0328,0.0654,0.0654
1,3780,0.0795,0.0795,0.0403,0.0403
1,4320,0.0686,0.0686,0.0554,0.0554
1,4860,0.0606,0.0606,0.0492,0.0492
2,0,0.04,0.04,0.0594,0.0594
2,540,0.0413,0.0413,0.0464,0.0464
2,1080,0.0443,0.0443,0.0629,0.0629
2,1620,0.0297,0.0297,0.0535,0.0535
2,2160,0.0407,0.0407,0.0571,0.0571
2,2700,0.0343,0.0343,0.0425,0.0425
2,3240,0.0296,0.0296,0.0432,0.0432
2,3780,0.067,0.067,0.0604,0.0604
2,4320,0.0556,0.0556,0.035,0.035
2,4860,0.047,0.047,0.0654,0.0654
3,0,0.0325,0.0325,0.0522,0.0522
3,540,0.0315,0.0315,0.0448,0.0448
3,1080,0.045,0.045,0.0447,0.0447
3,1620,0.0313,0.0313,0.0471,0.0471
3,2160,0.0316,0.0316,0.0328,0.0328
3,2700,0.0254,0.0254,0.0315,0.0315
3,3240,0.0277,0.0277,0.0457,0.0457
3,3780,0.0559,0.0559,0.0394,0.0394
3,4320,0.044,0.044,0.0376,0.0376
3,4860,0.0427,0.0427,0.0351,0.0351
4,0,0.0179,0.0179,0.0338,0.0338
4,540,0.0244,0.0244,0.0389,0.0389
4,1080,0.0412,0.0412,0.037,0.037
4,1620,0.0301,0.0301,0.0399,0.0399
