epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
11,1620,0.0968,0.0968,0.1167,0.1167
11,2160,0.1055,0.1055,0.1195,0.1195
11,2700,0.1422,0.1422,0.108,0.108
11,3240,0.0788,0.0788,0.0939,0.0939
11,3780,0.1142,0.1142,0.117,0.117
11,4320,0.1224,0.1224,0.0977,0.0977
11,4860,0.1056,0.1056,0.1039,0.1039
12,0,0.1193,0.1193,0.0819,0.0819
12,540,0.0701,0.0701,0.1037,0.1037
12,1080,0.1226,0.1226,0.114,0.114
12,1620,0.1013,0.1013,0.114,0.114
12,2160,0.1014,0.1014,0.1296,0.1296
12,2700,0.1147,0.1147,0.1098,0.1098
12,3240,0.0769,0.0769,0.0943,0.0943
12,3780,0.1139,0.1139,0.0932,0.0932
12,4320,0.1377,0.1377,0.1028,0.1028
12,4860,0.1092,0.1092,0.0879,0.0879
13,0,0.1169,0.1169,0.0755,0.0755
13,540,0.0817,0.0817,0.1121,0.1121
13,1080,0.1322,0.1322,0.09,0.09
13,1620,0.0805,0.0805,0.1185,0.1185
13,2160,0.1231,0.1231,0.1196,0.1196
13,2700,0.0997,0.0997,0.0936,0.0936
13,3240,0.0741,0.0741,0.0983,0.0983
13,3780,0.1098,0.1098,0.0993,0.0993
13,4320,0.1366,0.1366,0.1379,0.1379
13,4860,0.1026,0.1026,0.1203,0.1203
14,0,0.1165,0.1165,0.0852,0.0852
14,540,0.0747,0.0747,0.1128,0.1128
14,1080,0.1121,0.1121,0.0979,0.0979
14,1620,0.101,0.101,0.0838,0.0838
14,2160,0.1023,0.1023,0.0908,0.0908
14,2700,0.1157,0.1157,0.0977,0.0977
14,3240,0.0746,0.0746,0.0827,0.0827
14,3780,0.1059,0.1059,0.1268,0.1268
14,4320,0.1222,0.1222,0.0789,0.0789
14,4860,0.0975,0.0975,0.1097,0.1097
15,0,0.1177,0.1177,0.0928,0.0928
15,540,0.0868,0.0868,0.0934,0.0934
15,1080,0.1135,0.1135,0.0976,0.0976
15,1620,0.1084,0.1084,0.1016,0.1016
15,2160,0.0906,0.0906,0.097,0.097
15,2700,0.0896,0.0896,0.1051,0.1051
15,3240,0.0716,0.0716,0.0827,0.0827
15,3780,0.1192,0.1192,0.1279,0.1279
15,4320,0.1294,0.1294,0.0981,0.0981
15,4860,0.1003,0.1003,0.1033,0.1033
16,0,0.1173,0.1173,0.107,0.107
16,540,0.0635,0.0635,0.0815,0.0815
16,1080,0.142,0.142,0.107,0.107
16,1620,0.1039,0.1039,0.0785,0.0785
16,2160,0.091,0.091,0.1088,0.1088
16,2700,0.0928,0.0928,0.1004,0.1004
16,3240,0.0681,0.0681,0.0934,0.0934
16,3780,0.0985,0.0985,0.0942,0.0942
16,4320,0.1195,0.1195,0.1203,0.1203
16,4860,0.0951,0.0951,0.1262,0.1262
17,0,0.1177,0.1177,0.1153,0.1153
17,540,0.059,0.059,0.11,0.11
17,1080,0.1242,0.1242,0.0851,0.0851
17,1620,0.0891,0.0891,0.1149,0.1149
17,2160,0.0939,0.0939,0.0899,0.0899
17,2700,0.1064,0.1064,0.1077,0.1077
17,3240,0.0755,0.0755,0.1068,0.1068
17,3780,0.1015,0.1015,0.0953,0.0953
17,4320,0.1163,0.1163,0.1085,0.1085
17,4860,0.0969,0.0969,0.0988,0.0988
18,0,0.1182,0.1182,0.0921,0.0921
18,540,0.0703,0.0703,0.0964,0.0964
18,1080,0.1204,0.1204,0.0915,0.0915
18,1620,0.0928,0.0928,0.1278,0.1278
18,2160,0.0873,0.0873,0.1165,0.1165
18,2700,0.087,0.087,0.1146,0.1146
18,3240,0.0682,0.0682,0.0869,0.0869
18,3780,0.1038,0.1038,0.1172,0.1172
18,4320,0.116,0.116,0.1075,0.1075
18,4860,0.103,0.103,0.1559,0.1559
19,0,0.1158,0.1158,0.1055,0.1055
19,540,0.0636,0.0636,0.0799,0.0799
19,1080,0.1035,0.1035,0.108,0.108
19,1620,0.0944,0.0944,0.1146,0.1146
19,2160,0.0814,0.0814,0.0941,0.0941
19,2700,0.1102,0.1102,0.1226,0.1226
19,3240,0.073,0.073,0.0833,0.0833
19,3780,0.1011,0.1011,0.0957,0.0957
19,4320,0.1062,0.1062,0.0675,0.0675
19,4860,0.0914,0.0914,0.1129,0.1129
20,0,0.1234,0.1234,0.1332,0.1332
20,540,0.0581,0.0581,0.093,0.093
20,1080,0.1066,0.1066,0.1034,0.1034
20,1620,0.1058,0.1058,0.103,0.103
20,2160,0.0848,0.0848,0.0868,0.0868
20,2700,0.0888,0.0888,0.1353,0.1353
20,3240,0.0711,0.0711,0.1055,0.1055
20,3780,0.0959,0.0959,0.1367,0.1367
20,4320,0.1004,0.1004,0.0968,0.0968
20,4860,0.0897,0.0897,0.0794,0.0794
21,0,0.1134,0.1134,0.1015,0.1015
21,540,0.0611,0.0611,0.1014,0.1014
21,1080,0.1061,0.1061,0.0857,0.0857
21,1620,0.0918,0.0918,0.1017,0.1017
21,2160,0.0903,0.0903,0.122,0.122
21,2700,0.0761,0.0761,0.1046,0.1046
21,3240,0.0655,0.0655,0.0981,0.0981
21,3780,0.0972,0.0972,0.0785,0.0785
21,4320,0.1135,0.1135,0.1168,0.1168
21,4860,0.0933,0.0933,0.0983,0.0983
22,0,0.1132,0.1132,0.1175,0.1175
22,540,0.0707,0.0707,0.0958,0.0958
22,1080,0.0965,0.0965,0.1093,0.1093
22,1620,0.0808,0.0808,0.1109,0.1109
22,2160,0.0914,0.0914,0.1027,0.1027
22,2700,0.0723,0.0723,0.0958,0.0958
22,3240,0.0656,0.0656,0.1,0.1
22,3780,0.0917,0.0917,0.087,0.087
22,4320,0.0909,0.0909,0.0871,0.0871
22,4860,0.0904,0.0904,0.092,0.092
23,0,0.1179,0.1179,0.0926,0.0926
23,540,0.0669,0.0669,0.0885,0.0885
