epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,0.606,0.606,0.4976,0.4976
0,540,0.1679,0.1679,0.1131,0.1131
0,1080,0.0506,0.0506,0.0826,0.0826
0,1620,0.1017,0.1017,0.0691,0.0691
0,2160,0.0881,0.0881,0.0931,0.0931
0,2700,0.0726,0.0726,0.0539,0.0539
0,3240,0.0847,0.0847,0.0545,0.0545
0,3780,0.0657,0.0657,0.0783,0.0783
0,4320,0.0604,0.0604,0.0926,0.0926
0,4860,0.0506,0.0506,0.0732,0.0732
1,0,0.0696,0.0696,0.0579,0.0579
1,540,0.0853,0.0853,0.0786,0.0786
1,1080,0.0497,0.0497,0.0992,0.0992
1,1620,0.0886,0.0886,0.083,0.083
1,2160,0.0896,0.0896,0.0879,0.0879
1,2700,0.0777,0.0777,0.0707,0.0707
1,3240,0.0925,0.0925,0.1023,0.1023
1,3780,0.0664,0.0664,0.0878,0.0878
1,4320,0.0576,0.0576,0.0417,0.0417
1,4860,0.05,0.05,0.0753,0.0753
2,0,0.0708,0.0708,0.0571,0.0571
2,540,0.0741,0.0741,0.0543,0.0543
2,1080,0.0489,0.0489,0.0766,0.0766
2,1620,0.0849,0.0849,0.0748,0.0748
2,2160,0.0906,0.0906,0.0691,0.0691
2,2700,0.0722,0.0722,0.0693,0.0693
2,3240,0.0586,0.0586,0.0613,0.0613
2,3780,0.0671,0.0671,0.089,0.089
2,4320,0.0611,0.0611,0.0776,0.0776
2,4860,0.0457,0.0457,0.0767,0.0767
3,0,0.0636,0.0636,0.086,0.086
3,540,0.0638,0.0638,0.0847,0.0847
3,1080,0.053,0.053,0.0675,0.0675
3,1620,0.0749,0.0749,0.0737,0.0737
3,2160,0.0908,0.0908,0.0664,0.0664
3,2700,0.0661,0.0661,0.0742,0.0742
3,3240,0.0786,0.0786,0.0651,0.0651
3,3780,0.0609,0.0609,0.0961,0.0961
3,4320,0.0585,0.0585,0.0578,0.0578
3,4860,0.0501,0.0501,0.0783,0.0783
4,0,0.0602,0.0602,0.0709,0.0709
4,540,0.0543,0.0543,0.053,0.053
4,1080,0.0678,0.0678,0.0596,0.0596
4,1620,0.0691,0.0691,0.0655,0.0655
4,2160,0.0912,0.0912,0.088,0.088
4,2700,0.0537,0.0537,0.0865,0.0865
4,3240,0.0598,0.0598,0.0676,0.0676
4,3780,0.0562,0.0562,0.0644,0.0644
4,4320,0.0561,0.0561,0.0518,0.0518
4,4860,0.051,0.051,0.0776,0.0776
5,0,0.0548,0.0548,0.0799,0.0799
5,540,0.0464,0.0464,0.0467,0.0467
5,1080,0.0575,0.0575,0.0538,0.0538
5,1620,0.0674,0.0674,0.0827,0.0827
5,2160,0.0884,0.0884,0.0891,0.0891
5,2700,0.0478,0.0478,0.0622,0.0622
5,3240,0.0612,0.0612,0.0546,0.0546
5,3780,0.0543,0.0543,0.0643,0.0643
5,4320,0.0694,0.0694,0.0581,0.0581
5,4860,0.0507,0.0507,0.0568,0.0568
6,0,0.051,0.051,0.0641,0.0641
6,540,0.0578,0.0578,0.0946,0.0946
6,1080,0.0524,0.0524,0.0614,0.0614
6,1620,0.056,0.056,0.0426,0.0426
6,2160,0.0638,0.0638,0.0531,0.0531
6,2700,0.0481,0.0481,0.0977,0.0977
6,3240,0.0518,0.0518,0.0529,0.0529
6,3780,0.0521,0.0521,0.0758,0.0758
6,4320,0.0537,0.0537,0.0497,0.0497
6,4860,0.0434,0.0434,0.0592,0.0592
7,0,0.0495,0.0495,0.0836,0.0836
7,540,0.0445,0.0445,0.0616,0.0616
7,1080,0.0408,0.0408,0.0641,0.0641
7,1620,0.054,0.054,0.0646,0.0646
7,2160,0.0529,0.0529,0.06,0.06
7,2700,0.0493,0.0493,0.0552,0.0552
7,3240,0.0473,0.0473,0.0797,0.0797
7,3780,0.0575,0.0575,0.0686,0.0686
7,4320,0.0502,0.0502,0.0452,0.0452
7,4860,0.0367,0.0367,0.046,0.046
8,0,0.0459,0.0459,0.0541,0.0541
8,540,0.0524,0.0524,0.0586,0.0586
8,1080,0.0348,0.0348,0.0653,0.0653
