epoch,step,train_m_loss,train_s_loss,test_m_loss,test_s_loss
0,0,7.9238,7.9238,8.9891,8.9891
0,540,5.0828,5.0828,4.7557,4.7557
0,1080,3.9481,3.9481,5.1119,5.1119
0,1620,4.8934,4.8934,5.0045,5.0045
0,2160,6.539,6.539,5.5805,5.5805
0,2700,5.6431,5.6431,5.1149,5.1149
0,3240,4.8767,4.8767,5.094,5.094
0,3780,5.2403,5.2403,5.1146,5.1146
0,4320,4.0865,4.0865,4.7805,4.7805
0,4860,5.5006,5.5006,4.7041,4.7041
1,0,7.0658,7.0658,3.212,3.212
1,540,5.0909,5.0909,4.8508,4.8508
1,1080,3.8668,3.8668,3.6694,3.6694
1,1620,4.9386,4.9386,6.0872,6.0872
1,2160,6.6481,6.6481,5.1273,5.1273
1,2700,5.5911,5.5911,4.1309,4.1309
1,3240,5.0561,5.0561,4.6417,4.6417
1,3780,5.131,5.131,4.883,4.883
1,4320,3.9339,3.9339,5.4655,5.4655
1,4860,5.6186,5.6186,5.2728,5.2728
2,0,6.9547,6.9547,5.755,5.755
2,540,5.0856,5.0856,5.0996,5.0996
2,1080,3.8794,3.8794,5.7064,5.7064
2,1620,4.934,4.934,4.6039,4.6039
2,2160,6.6535,6.6535,7.4321,7.4321
2,2700,5.5891,5.5891,4.5838,4.5838
2,3240,5.0751,5.0751,4.3814,4.3814
2,3780,5.0958,5.0958,5.1151,5.1151
2,4320,3.8971,3.8971,4.7915,4.7915
2,4860,5.4205,5.4205,5.0582,5.0582
3,0,7.08,7.08,4.6292,4.6292
3,540,5.0837,5.0837,4.7516,4.7516
3,1080,3.8801,3.8801,4.6128,4.6128
3,1620,4.9533,4.9533,5.1375,5.1375
3,2160,6.4999,6.4999,5.9634,5.9634
3,2700,5.5773,5.5773,4.527,4.527
3,3240,5.1741,5.1741,4.7641,4.7641
3,3780,5.2073,5.2073,4.7321,4.7321
3,4320,3.8474,3.8474,5.4692,5.4692
3,4860,5.5097,5.5097,4.2663,4.2663
4,0,7.0391,7.0391,5.1558,5.1558
4,540,5.0828,5.0828,5.5733,5.5733
4,1080,3.886,3.886,4.7713,4.7713
4,1620,5.0013,5.0013,4.5645,4.5645
4,2160,6.5266,6.5266,4.9749,4.9749
4,2700,5.5549,5.5549,5.6411,5.6411
4,3240,5.1798,5.1798,4.87,4.87
4,3780,5.2939,5.2939,4.5158,4.5158
4,4320,3.9059,3.9059,4.6549,4.6549
4,4860,5.3921,5.3921,4.7533,4.7533
5,0,7.0627,7.0627,4.2303,4.2303
5,540,5.0817,5.0817,5.6518,5.6518
5,1080,3.8952,3.8952,4.7992,4.7992
5,1620,5.0066,5.0066,4.5479,4.5479
5,2160,6.509,6.509,4.3675,4.3675
5,2700,5.5529,5.5529,5.6952,5.6952
5,3240,5.2253,5.2253,4.8771,4.8771
5,3780,5.2734,5.2734,4.9311,4.9311
5,4320,4.0034,4.0034,5.0631,5.0631
5,4860,5.4414,5.4414,4.9463,4.9463
6,0,6.9795,6.9795,4.4924,4.4924
6,540,5.084,5.084,3.9568,3.9568
6,1080,3.9007,3.9007,4.9014,4.9014
6,1620,5.0212,5.0212,4.5818,4.5818
6,2160,6.4256,6.4256,4.5889,4.5889
6,2700,5.5593,5.5593,5.6329,5.6329
6,3240,5.1129,5.1129,4.3749,4.3749
6,3780,5.2191,5.2191,5.3958,5.3958
6,4320,3.8864,3.8864,4.8887,4.8887
6,4860,5.4493,5.4493,4.2613,4.2613
7,0,6.9781,6.9781,5.4213,5.4213
7,540,5.0814,5.0814,5.2378,5.2378
7,1080,3.9194,3.9194,5.249,5.249
7,1620,4.9787,4.9787,4.6737,4.6737
7,2160,6.3424,6.3424,6.353,6.353
7,2700,5.5663,5.5663,5.3583,5.3583
7,3240,5.2046,5.2046,4.6227,4.6227
7,3780,5.1779,5.1779,5.2645,5.2645
7,4320,3.9932,3.9932,4.9457,4.9457
7,4860,5.3455,5.3455,4.4153,4.4153
8,0,6.8875,6.8875,4.5479,4.5479
8,540,5.0786,5.0786,4.3946,4.3946
8,1080,3.9146,3.9146,5.3601,5.3601
8,1620,4.9897,4.9897,4.894,4.894
8,2160,6.3267,6.3267,5.1174,5.1174
8,2700,5.5692,5.5692,4.8346,4.8346
8,3240,5.2372,5.2372,2.6517,2.6517
8,3780,5.0862,5.0862,5.7554,5.7554
8,4320,4.0019,4.0019,4.4317,4.4317
8,4860,5.3021,5.3021,5.5744,5.5744
9,0,6.908,6.908,4.4741,4.4741
9,540,5.078,5.078,5.151,5.151
9,1080,3.9152,3.9152,5.1322,5.1322
9,1620,4.9793,4.9793,4.7505,4.7505
9,2160,6.3264,6.3264,5.3128,5.3128
9,2700,5.5574,5.5574,5.4986,5.4986
9,3240,5.1779,5.1779,5.0288,5.0288
9,3780,5.0746,5.0746,6.3098,6.3098
9,4320,3.9811,3.9811,5.5731,5.5731
9,4860,5.4113,5.4113,5.4226,5.4226
10,0,6.9058,6.9058,5.7287,5.7287
10,540,5.0757,5.0757,6.7034,6.7034
10,1080,3.9069,3.9069,6.1817,6.1817
10,1620,5.005,5.005,4.4731,4.4731
10,2160,6.2595,6.2595,4.6789,4.6789
10,2700,5.6071,5.6071,4.3702,4.3702
10,3240,5.1746,5.1746,5.5614,5.5614
10,3780,5.1104,5.1104,5.9139,5.9139
10,4320,3.9702,3.9702,4.5815,4.5815
10,4860,5.3681,5.3681,4.5904,4.5904
11,0,6.8705,6.8705,4.2025,4.2025
11,540,5.0741,5.0741,5.3557,5.3557
11,1080,3.9072,3.9072,5.2106,5.2106
11,1620,5.0188,5.0188,4.4958,4.4958
11,2160,6.2422,6.2422,4.6653,4.6653
11,2700,5.5927,5.5927,4.7936,4.7936
11,3240,5.2129,5.2129,5.1052,5.1052
11,3780,5.065,5.065,5.6469,5.6469
11,4320,3.9552,3.9552,4.6617,4.6617
11,4860,5.366,5.366,4.7574,4.7574
12,0,6.8724,6.8724,5.0519,5.0519
12,540,5.0733,5.0733,4.8724,4.8724
12,1080,3.9116,3.9116,4.8887,4.8887
12,1620,5.0023,5.0023,4.3952,4.3952
12,2160,6.2435,6.2435,4.7043,4.7043
12,2700,5.6028,5.6028,5.1351,5.1351
12,3240,5.1868,5.1868,4.8642,4.8642
12,3780,5.0631,5.0631,6.1469,6.1469
12,4320,3.9434,3.9434,5.392,5.392
12,4860,5.417,5.417,5.2557,5.2557
13,0,6.9915,6.9915,4.8956,4.8956
13,540,5.0728,5.0728,4.6412,4.6412
13,1080,3.919,3.919,3.6965,3.6965
13,1620,5.0005,5.0005,4.9703,4.9703
13,2160,6.261,6.261,6.5718,6.5718
13,2700,5.5885,5.5885,4.773,4.773
13,3240,5.2279,5.2279,4.6796,4.6796
13,3780,5.0281,5.0281,5.4586,5.4586
13,4320,4.1457,4.1457,4.0097,4.0097
13,4860,5.3461,5.3461,4.3111,4.3111
14,0,6.9615,6.9615,4.3445,4.3445
14,540,5.0693,5.0693,5.2481,5.2481
14,1080,3.9441,3.9441,4.8707,4.8707
14,1620,5.0527,5.0527,4.7819,4.7819
14,2160,6.2288,6.2288,3.6453,3.6453
14,2700,5.6063,5.6063,5.2008,5.2008
14,3240,5.173,5.173,4.4748,4.4748
14,3780,5.0832,5.0832,5.9515,5.9515
14,4320,3.9702,3.9702,5.5221,5.5221
14,4860,5.4136,5.4136,4.9873,4.9873
15,0,6.8903,6.8903,5.283,5.283
15,540,5.0678,5.0678,4.364,4.364
15,1080,3.9268,3.9268,5.8244,5.8244
15,1620,5.0491,5.0491,4.3078,4.3078
15,2160,6.2306,6.2306,4.8329,4.8329
15,2700,5.5833,5.5833,4.2137,4.2137
15,3240,5.2115,5.2115,6.0129,6.0129
15,3780,5.0195,5.0195,5.1536,5.1536
15,4320,4.0561,4.0561,5.1196,5.1196
15,4860,5.3921,5.3921,5.0758,5.0758
16,0,6.9544,6.9544,5.9812,5.9812
16,540,5.0691,5.0691,5.7972,5.7972
16,1080,3.9215,3.9215,4.3966,4.3966
16,1620,5.0233,5.0233,5.8679,5.8679
16,2160,6.2292,6.2292,3.6198,3.6198
16,2700,5.6027,5.6027,4.8513,4.8513
16,3240,5.2282,5.2282,5.4004,5.4004
16,3780,5.0668,5.0668,4.1609,4.1609
16,4320,3.9191,3.9191,6.3668,6.3668
